username,text,timestamp,url,likes,retweets,replies,extracted_urls,extracted_hashtags
MrsRosefyre,"#Hitler_21stCenturyEdition views everything as a fauxrality show. ""This will make great television, I can tell you that."" He thinks WW1 was in 1917. He believes Hannibal Lector is real. He wanted to ""nuke hurricanes"", something he took from Sharknado",2025-03-02T00:54:58.000Z,https://twitter.com/MrsRosefyre/status/1896001248622755948,0,0,0,None,#Hitler_21stCenturyEdition
ThomNolan,Who started WW1? Not Germany,2025-03-02T00:54:43.000Z,https://twitter.com/ThomNolan/status/1896001185301328360,0,0,0,None,None
JohnBlackB79497,Google it. WW1 Was started by three inbed royal family members Hitler was the creation of his inbred parents Hitler was having relations with his cousin until she committed suicide. All I am saying is truth Hitler was the poster boy the bastard child of British incest royalty!,2025-03-02T00:53:54.000Z,https://twitter.com/JohnBlackB79497/status/1896000979117740304,0,0,1,None,None
IndiaSportscafe,"#OTD SRT's masterclass 98(75) vs Pakistan in 2003!
#SachinTendulkar",2025-03-01T09:09:26.000Z,https://twitter.com/IndiaSportscafe/status/1895763298488107057,0,0,0,None,"#OTD, #SachinTendulkar"
RangeInn,"Rohit Shami Injury Update Before India vs New Zealand Clash
#Government #India #NewZealand #News #Pakistan #RangeInn #Sports",2025-03-01T09:08:46.000Z,https://twitter.com/RangeInn/status/1895763128534876426,0,0,0,None,"#Government, #India, #NewZealand, #News, #Pakistan, #RangeInn, #Sports"
Pro_SportsPK,Would You Prefer a Final in Pakistan or a South Africa vs. India Showdown? #prosports #pakistan #india #newzealand #championstrophy,2025-03-01T08:57:40.000Z,https://twitter.com/Pro_SportsPK/status/1895760337502417132,18,5,2,None,"#prosports, #pakistan, #india, #newzealand, #championstrophy"
logical_25,"Big Problem For India vs NZ, Shami May Sit Out Because ""vs Pakistan...""",2025-03-01T08:52:17.000Z,https://twitter.com/logical_25/status/1895758980187652331,0,0,0,None,None
letstryn,"Dear @ICC , I'm wondering how the semi final fixture was made for #ChampionsTrophy2025
@BCCI strongly refused to play India games in #Pakistan so that their games moved to Dubai

Semi1- A1 vs B2, Dubai 
Semi2- B1 vs A2, Lahore

@ICC @BCCI @TheRealPCB @BLACKCAPS @StarSportsTamil",2025-03-01T08:48:04.000Z,https://twitter.com/letstryn/status/1895757921709146510,0,0,1,None,"#ChampionsTrophy2025, #Pakistan"
Abhishe11654945,"No. 4th March semifinal match is fixed in dubai irrespective India pahuchti yaa nhi.
 A1 vs B2 in dubai
A2vs B1 in Pakistan in group A A1 is India",2025-03-01T08:47:50.000Z,https://twitter.com/Abhishe11654945/status/1895757862887887044,1,0,2,None,None
Rajiv1841,"+Pakistan is considered India's arch rival and many players fails against them under pressure but Shreyas played them twice in ICC tournaments & scored 50 both times.

+ Was under immense pressure in 1st game vs Eng when GG put a doubt over his position and be scored 30 balls 50.",2025-03-01T08:46:47.000Z,https://twitter.com/Rajiv1841/status/1895757598613520589,18,3,0,None,None
kashmiricanibal,"Hospitality Face-Off: Pakistan's Warm Welcome vs. India's Cold Shoulder . 

Watch the surprising difference in how tourists are treated!",2025-03-01T08:46:27.000Z,https://twitter.com/kashmiricanibal/status/1895757513708179868,3110,485,192,None,None
SamiullahHarif8,"Trump INDIA
ZILINSKE PAKISTAN
IND VS PAK",2025-03-01T08:30:32.000Z,https://twitter.com/SamiullahHarif8/status/1895753507518759191,0,0,0,None,None
CricketNDTV,"Big problem for India vs New Zealand in CT 2025, Mohammed Shami may sit out because ""during the Pakistan game...""

#mohammedshami #INDvsNZ #ChampionsTrophy",2025-03-01T08:19:02.000Z,https://twitter.com/CricketNDTV/status/1895750612903748063,2,1,0,None,"#mohammedshami, #INDvsNZ, #ChampionsTrophy"
HimanshuSh80843,"Sports (Global)

India vs Pakistan Cricket Rivalry: Highlights from past matches, including India's win in the 2003 World Cup.

LeBron James & Luka Dončić Available for Game Tonight: Key NBA players confirmed to play.",2025-03-01T08:18:47.000Z,https://twitter.com/HimanshuSh80843/status/1895750553340428324,2,0,1,None,None
internetumpire,It's not even about india vs Pakistan. They won't even let their players play in other leagues for some reason.,2025-03-01T08:13:24.000Z,https://twitter.com/internetumpire/status/1895749195791011954,8,0,1,None,None
whaiderr25,"My question is for all four panelists. Now, each of you share your best funny moment in the dressing room or on the ground against India vs Pakistan, especially in ICC events.

#AskTheRoom",2025-03-01T08:00:28.000Z,https://twitter.com/whaiderr25/status/1895745942336483571,0,0,0,None,#AskTheRoom
awriteway,"If they ever create an archive of best batting innings in India vs Pakistan, Sachin’s 2003 innings and Kohli’s 2022 innings would be right on top.

In both the innings there was pressure of expectations. 

While the Master had a pressure of facing the best Pakistani bowling",2025-03-01T07:54:15.000Z,https://twitter.com/awriteway/status/1895744375868600440,7,0,0,None,None
agarwalav,The best shot ever in world cup India vs Pakistan by Tendulkar.,2025-03-01T07:23:13.000Z,https://twitter.com/agarwalav/status/1895736566544465920,0,0,0,None,None
truss_83,"she is obviously talking abt this in pakistan vs india context, we do not have missiles capable of reaching the uk america is on the other side of the world so its different",2025-03-01T07:02:56.000Z,https://twitter.com/truss_83/status/1895731462345015322,2,0,0,None,None
